genome clade
Choreutis_nemorana 0
Rhyacophila_brunnea 0
Plectrocnemia_conspersa 0
Stenopsyche_tienmushanensis 0
Carposina_sasakii 0
Arctopsyche_grandis 0
Zeuzera_pyrina 0
Sesia_apiformis 0
Apoda_limacodes 0
Zygaena_filipendulae 0
Tortricodes_alternella 0
Eubasilissa_regina 0
Agrypnia_vestita 0
Hesperophylax_magnus 0
Plutella_xylostella 0
Yponomeuta_sedellus 0
Hofmannophila_pseudospretella 0
Bembecia_ichneumoniformis 0
Limnephilus_lunatus 0
Limnephilus_rhombicus 0
Incurvaria_masculella 0
Conopomorpha_cramerella 0
Metalampra_italica 0
Synanthedon_myopaeformis 0
Tinea_semifulvella 0
Synanthedon_andrenaeformis 0
Lathronympha_strigana 0
Adoxophyes_honmai 0
Acleris_sparsana 0
Monopis_laevigella 0
Nematopogon_swammerdamellus 0
Adela_reaumurella 0
Oegoconia_quadripuncta 0
Coleophora_flavipennella 0
Hypena_proboscidalis 0
Idaea_dimidiata 0
Idaea_aversata 0
Alsophila_aescularia 0
Hemistola_chrysoprasaria 0
Hemithea_aestivaria 0
Synanthedon_tipuliformis 0
Synanthedon_formicaeformis 0
Apotomis_capreana 0
Eudemis_profundana 0
Thaumatotibia_leucotreta 0
Acleris_literana 0
Tinea_trinotella 0
Hyposmocoma_kahamanoa 0
Carcina_quercana 0
Agonopterix_arenella 0
Apotomis_betuletana 0
Apotomis_turbidana 0
Notocelia_uddmanniana 0
Pandemis_cinnamomeana 0
Pandemis_corylana 0
Archips_xylosteana 0
Choristoneura_fumiferana 0
Acleris_cristana 0
Acleris_emargana 0
Tinea_pellionella 0
Tineola_bisselliella 0
Watsonalla_binaria 0
Achlya_flavicornis 0
Galleria_mellonella 0
Marasmarcha_lunaedactyla 0
Emmelina_monodactyla 0
Phalera_bucephala 0
Thaumetopoea_pityocampa 0
Furcula_furcula 0
Nycteola_revayana 0
Meganola_albula 0
Herminia_tarsipennalis 0
Schrankia_costaestrigalis 0
Lampropteryx_suffumata 0
Anticlea_derivata 0
