label	#anonymous_contig_id	genome_id	tax_id	contig_id	number_reads	start_position	end_position	otu	full_path	path	new_label
PC1000033	PC1000033	Otu169.0	59600	CP002453.1	378	1769995	1782462	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1001676	PC1001676	Otu169.0	59600	CP002453.1	224	964022	971506	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1003206	PC1003206	Otu169.0	59600	CP002453.1	268	1377485	1387517	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1007663	PC1007663	Otu169.0	59600	CP002453.1	192	2728297	2735212	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1017336	PC1017336	Otu169.0	59600	CP002453.1	286	1301218	1311094	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1025825	PC1025825	Otu169.0	59600	CP002453.1	168	4442620	4447947	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1026115	PC1026115	Otu169.0	59600	CP002453.1	352	1898368	1910584	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1027711	PC1027711	Otu169.0	59600	CP002453.1	240	4134835	4143123	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1028006	PC1028006	Otu169.0	59600	CP002453.1	204	344897	351260	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
PC1032316	PC1032316	Otu169.0	59600	CP002453.1	210	2940735	2946945	Otu169.0	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Cellulophaga_algicola_DSM_14237_genomic.fasta	Cellulophaga_algicola_DSM_14237_genomic.kf	Cellulophaga_algicola_DSM_14237_genomic
